#NAME_KANJIÇÕ"NAME_KANJI_SEIÅ@NAME_KANJI_MEI"
#NAME_KANAÇÕ"NAME_KANA_SEIÅ@NAME_KANA_MEI"
#NENDO_WAREK2Å`5ÇÕ"NENDO"ÇÃêîéöÇ1Å`4ë´Ç∑ÅB

UKETUKE_NO 10010-999XX-A01-0001
NENDO_SEIREKI (20XXîNìx)
SAKUSEI_DATE_Y XX
SAKUSEI_DATE_M XX
SAKUSEI_DATE_D XX
SHINSEI_KUBUN_TITLE ÅiêVãKÅj
SHINSEI_KUBUN êVãK
KADAI_NO_KEIZOKU XXXXXXXX
SHINSEI_FLG_NO äYìñÇ∑ÇÈ
KADAI_NO_SAISYU XXXXXXXX
BUNTANKIN_FLG óL
KEI_NAME êlï∂ÅEé–âÔån
NAME_KANJI äøéöê©ÉfÅ[É^ÇOÇOÅ@äøéöñºÉfÅ[É^ÇOÇO
NAME_KANA ÉJÉiÉZÉCÉfÅ[É^ÇOÇOÇOÇOÇOÇOÇOÇOÇOÅ@ÉJÉiÉÅÉCÉfÅ[É^ÇOÇOÇOÇOÇOÇOÇOÇOÇO
SHOZOKU_CD XXXXX
SHOZOKU_NAME ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
BUKYOKU_CD XXX
BUKYOKU_NAME ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
SHOKU_CD 22
SHOKU_NAME_KANJI ã≥éˆ
KADAI_NAME_KANJI ÉfÅ[É^ÇSÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
KADAI_NAME_EIGO data200mojiXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
NENDO1 ïΩê¨XXîNìx
NENDO2 ïΩê¨X2îNìx
NENDO3 ïΩê¨X3îNìx
NENDO4 ïΩê¨X4îNìx
NENDO5 ïΩê¨X5îNìx
NENDO6 ïΩê¨X6îNìx
KEIHI1 9,999,999
BIHINHI1 9,999,999
SHOMOHINHI1 9,999,999
RYOHI1 9,999,999
SHAKIN1 9,999,999
SONOTA1 9,999,999
SHOMOHINHI1 9,999,999
RYOHI1 9,999,999
SHAKIN1 9,999,999
SONOTA1 9,999,999
KEIHI2 9,999,999
BIHINHI2 9,999,999
SHOMOHINHI2 9,999,999
RYOHI2 9,999,999
SHAKIN2 9,999,999
SONOTA2 9,999,999
SHOMOHINHI2 9,999,999
RYOHI2 9,999,999
SHAKIN2 9,999,999
SONOTA2 9,999,999
KEIHI3 9,999,999
BIHINHI3 9,999,999
SHOMOHINHI3 9,999,999
RYOHI3 9,999,999
SHAKIN3 9,999,999
SONOTA3 9,999,999
SHOMOHINHI3 9,999,999
RYOHI3 9,999,999
SHAKIN3 9,999,999
SONOTA3 9,999,999
KEIHI4 9,999,999
BIHINHI4 9,999,999
SHOMOHINHI4 9,999,999
RYOHI4 9,999,999
SHAKIN4 9,999,999
SONOTA4 9,999,999
SHOMOHINHI4 9,999,999
RYOHI4 9,999,999
SHAKIN4 9,999,999
SONOTA4 9,999,999
KEIHI5 9,999,999
BIHINHI5 9,999,999
SHOMOHINHI5 9,999,999
RYOHI5 9,999,999
SHAKIN5 9,999,999
SONOTA5 9,999,999
SHOMOHINHI5 9,999,999
RYOHI5 9,999,999
SHAKIN5 9,999,999
SONOTA5 9,999,999
KEIHI6 9,999,999
BIHINHI6 9,999,999
SHOMOHINHI6 9,999,999
RYOHI6 9,999,999
SHAKIN6 9,999,999
SONOTA6 9,999,999
SHOMOHINHI6 9,999,999
RYOHI6 9,999,999
SHAKIN6 9,999,999
SONOTA6 9,999,999
KEIHI_TOTAL 9,999,999
BIHINHI_TOTAL 9,999,999
SHOMOHINHI_TOTAL 9,999,999
RYOHI_TOTAL 9,999,999
SHAKIN_TOTAL 9,999,999
SONOTA_TOTAL 9,999,999
KANREN_SHIMEI1 ï∂éöóÒ32ï∂éö34567890123456789012
KANREN_KIKAN1 ï∂éöóÒ80ï∂éö34567890123456789012345678901234567890123456789012345678901234567890
KANREN_BUKYOKU1 ï∂éöóÒ100ï∂éö456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
KANREN_SHOKU1 ï∂éöóÒ40ï∂éö3456789012345678901234567890
KANREN_SENMON1 ï∂éöóÒ40ï∂éö3456789012345678901234567890
KANREN_TEL1 99-9999-9999Å@ì‡ê¸90123456789012345678901234567890
KANREN_JITAKUTEL1 99-9999-9999
KANREN_SHIMEI2 ï∂éöóÒ32ï∂éö34567890123456789012
KANREN_KIKAN2 ï∂éöóÒ80ï∂éö34567890123456789012345678901234567890123456789012345678901234567890
KANREN_BUKYOKU2 ï∂éöóÒ100ï∂éö456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
KANREN_SHOKU2 ï∂éöóÒ40ï∂éö3456789012345678901234567890
KANREN_SENMON2 ï∂éöóÒ40ï∂éö3456789012345678901234567890
KANREN_TEL2 99-9999-9999Å@ì‡ê¸90123456789012345678901234567890
KANREN_JITAKUTEL2 99-9999-9999
KANREN_SHIMEI3 ï∂éöóÒ32ï∂éö34567890123456789012
KANREN_KIKAN3 ï∂éöóÒ80ï∂éö34567890123456789012345678901234567890123456789012345678901234567890
KANREN_BUKYOKU3 ï∂éöóÒ100ï∂éö456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
KANREN_SHOKU3 ï∂éöóÒ40ï∂éö3456789012345678901234567890
KANREN_SENMON3 ï∂éöóÒ40ï∂éö3456789012345678901234567890
KANREN_TEL3 99-9999-9999Å@ì‡ê¸90123456789012345678901234567890
KANREN_JITAKUTEL3 99-9999-9999
BUNKASAIMOKU_CD XXXX
BUNYA_NAME ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
BUNKA_NAME ÉfÅ[É^ÇTÇOï∂éöÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇOÇX
